customer_id,created_at,churned,company_size,contract_type,plan_tier,acquisition_channel,industry,country,tenure_days,company_size_enc,contract_type_enc,plan_tier_enc,acquisition_channel_enc,industry_enc,country_enc,months_active,avg_sessions_all,avg_sessions_3m,avg_adoption_all,avg_adoption_3m,sessions_trend,adoption_trend,sessions_mom_change,avg_api_calls,avg_active_users,total_tickets,tickets_last_3m,avg_csat,min_csat,avg_resolution_hours,pct_billing_tickets,pct_bug_tickets,high_priority_tickets,total_payments,failed_payment_count,late_payment_count,pct_on_time,avg_days_late,payment_ratio,recent_failed_payments,avg_monthly_revenue,target
CUST-516BEFFB,2024-03-19,True,SMB,Annual,Pro,Partner,E-commerce,Australia,287,0,1,1,2,0,0,7,64.71,51.67,0.4599,0.32,-9.3214,-0.0761,-24.0,233.0,3.43,3.0,3.0,3.6666666666666665,2.0,20.891816879999997,0.667,0.333,3.0,7,0,2,0.714,8.29,1.0,0,299.0,1
CUST-6BBC7581,2023-06-05,False,SMB,Annual,Basic,Paid,Education,India,575,0,1,0,1,1,4,19,78.79,74.67,0.787,0.8323,-0.3439,0.0057,1.0,530.84,4.16,7.0,1.0,4.142857142857143,2.0,18.99066116246032,0.0,0.429,1.0,19,0,2,0.895,2.32,1.0,0,99.0,0
CUST-97D7E676,2024-01-08,True,Mid-Market,Annual,Pro,Organic,Retail,France,358,1,1,1,0,6,2,5,54.0,43.67,0.4936,0.418,-8.5,-0.0735,6.0,161.4,2.0,1.0,1.0,5.0,5.0,17.803622010833333,1.0,0.0,0.0,5,0,0,1.0,0.0,1.0,0,299.0,1
CUST-1D726390,2022-08-10,False,Mid-Market,Annual,Enterprise,Organic,Logistics,India,874,1,1,2,0,4,4,29,83.86,82.0,0.7472,0.7337,-0.2749,0.0004,-3.0,481.28,4.45,3.0,1.0,3.6666666666666665,2.0,13.75415313101852,0.0,0.333,1.0,29,1,0,0.966,0.55,0.9655,0,999.0,0
CUST-285F03CC,2024-11-06,False,Mid-Market,Annual,Pro,Paid,Retail,France,55,1,1,1,1,6,2,2,37.5,37.5,0.265,0.265,0.0,0.0,-9.0,305.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.5,6.0,1.0,0,299.0,0
CUST-FEC553EB,2024-02-10,True,Enterprise,Multi-Year,Enterprise,Partner,E-commerce,France,325,2,2,2,2,0,2,7,42.0,37.33,0.4029,0.3993,-2.5,-0.0164,-3.0,195.29,2.29,4.0,1.0,1.75,1.0,51.75046192125,0.0,0.5,1.0,7,0,2,0.714,3.86,1.0,0,999.0,1
CUST-BBBBBA86,2022-07-31,False,SMB,Monthly,Basic,Paid,E-commerce,Canada,884,0,0,0,1,0,1,30,77.73,71.67,0.7487,0.803,-0.307,0.0006,3.0,501.8,4.73,3.0,2.0,4.0,3.0,20.082642221851852,0.0,0.0,0.0,30,0,2,0.933,1.17,1.0,0,99.0,0
CUST-966A636F,2023-12-28,True,SMB,Annual,Pro,Organic,Retail,UK,369,0,1,1,0,6,5,10,47.4,29.33,0.41,0.242,-6.0727,-0.0493,7.0,211.8,2.7,2.0,1.0,2.5,2.0,22.474190258055557,0.5,0.5,1.0,10,1,1,0.8,8.2,0.9,0,299.0,1
CUST-800B201F,2023-08-04,True,SMB,Monthly,Pro,Paid,Retail,India,515,0,0,1,1,6,4,13,85.77,83.33,0.7294,0.6787,-0.5604,-0.008,-1.0,481.23,4.77,4.0,2.0,4.25,3.0,27.503407089305554,0.0,0.0,0.0,13,0,0,1.0,0.0,1.0,0,299.0,1
CUST-7CA82FBA,2024-03-16,True,SMB,Monthly,Pro,Partner,Manufacturing,Australia,290,0,0,1,2,5,0,10,61.6,60.67,0.4582,0.3293,-0.6788,-0.0537,10.0,217.3,2.1,4.0,1.0,2.25,1.0,14.83389851736111,0.75,0.0,1.0,10,2,3,0.3,10.6,0.4,1,299.0,1
